Model,MAE,RMSE,R2
Extra Trees Regressor,10492903123.80561,21113349279.636803,0.910873125293234
Gradient Boosting Regressor,28021529740.84189,42897017517.32056,0.6320840551974669
Linear Regression,45388002094.63081,65415838546.9391,0.14442075833779933
Random Forest,13871088869.163364,26978320331.601086,0.8544794835450518
Support Vector Regression,40916606180.094284,77343633674.4212,-0.19603408593788707
Extra Trees Regressor,10492903123.80561,21113349279.636803,0.910873125293234
Gradient Boosting Regressor,28021529740.84189,42897017517.32056,0.6320840551974669
Linear Regression,45388002094.63081,65415838546.9391,0.14442075833779933
Random Forest,13871088869.163364,26978320331.601086,0.8544794835450518
Support Vector Regression,40916606180.094284,77343633674.4212,-0.19603408593788707
Extra Trees Regressor,10492903123.80561,21113349279.636803,0.910873125293234
Gradient Boosting Regressor,28019430308.368633,42893524212.37718,0.6321439749928954
Linear Regression,45388002094.637314,65415838546.94112,0.1444207583377468
Random Forest,13879094732.651962,26992142082.90883,0.8543303368525205
Support Vector Regression,40916606256.59393,77343633742.41026,-0.19603408804063904
